Processed 55163 csets from 2833 developers
373 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
Ping Cheng                  16 (0.0%)
Jett.Zhou                   16 (0.0%)
Ruslan Pisarev              16 (0.0%)
Shirish Pargaonkar          15 (0.0%)
Ludovic Desroches           15 (0.0%)
Jan Andersson               15 (0.0%)
James Hogan                 15 (0.0%)
Marek Olšák               15 (0.0%)
马建朋                   15 (0.0%)
Ben Gardiner                15 (0.0%)
Martin K. Petersen          15 (0.0%)
Jonas Gorski                15 (0.0%)
Andreas Herrmann            15 (0.0%)
Allison Henderson           15 (0.0%)
Eric Sandeen                15 (0.0%)
Cyrill Gorcunov             15 (0.0%)
Cho, Yu-Chen                15 (0.0%)
Senthil Balasubramanian     15 (0.0%)
Dominik Brodowski           15 (0.0%)
Feng Tang                   15 (0.0%)
Jaecheol Lee                15 (0.0%)
Moger, Babu                 15 (0.0%)
Don Zickus                  15 (0.0%)
Stefan Hajnoczi             15 (0.0%)
Joe Thornber                15 (0.0%)
Todd Poynor                 14 (0.0%)
Olaf Hering                 14 (0.0%)
Chris Ball                  14 (0.0%)
Frank Blaschka              14 (0.0%)
Omar Ramirez Luna           14 (0.0%)
Alasdair G Kergon           14 (0.0%)
Sebastian Ott               14 (0.0%)
Darrick J. Wong             14 (0.0%)
Arun Easi                   14 (0.0%)
Waldemar Rymarkiewicz       14 (0.0%)
Phil Sutter                 14 (0.0%)
Mi Jinlong                  14 (0.0%)
Johannes Stezenbach         14 (0.0%)
Yan, Zheng                  14 (0.0%)
Sachin Prabhu               14 (0.0%)
Tony Breeds                 14 (0.0%)
Chris Rankin                14 (0.0%)
Aurelien Jacquiot           14 (0.0%)
Andrew Miller               14 (0.0%)
Luiz Augusto von Dentz      13 (0.0%)
Oliver Hartkopp             13 (0.0%)
Éric Piel                  13 (0.0%)
Joachim Eastwood            13 (0.0%)
Patrick McHardy             13 (0.0%)
Ying Han                    13 (0.0%)
Virupax Sadashivpetimath    13 (0.0%)
Hans Schillstrom            13 (0.0%)
Guan Xuetao                 13 (0.0%)
Matt Evans                  13 (0.0%)
Nick Kossifidis             13 (0.0%)
Pekka Enberg                13 (0.0%)
Dirk Brandewie              13 (0.0%)
Grant Grundler              13 (0.0%)
Carolyn Wyborny             13 (0.0%)
Anton Tikhomirov            13 (0.0%)
Hidetoshi Seto              13 (0.0%)
Bastian Hecht               13 (0.0%)
Wang Sheng-Hui              13 (0.0%)
Alexander Smirnov           13 (0.0%)
Manish Rangankar            13 (0.0%)
Stefan Behrens              13 (0.0%)
Seung-Woo Kim               13 (0.0%)
Rick Jones                  13 (0.0%)
Huang Shijie                13 (0.0%)
Chris Kelly                 13 (0.0%)
Daniel J Blueman            12 (0.0%)
Davidlohr Bueso             12 (0.0%)
Michael Neuling             12 (0.0%)
Vitaliy Ivanov              12 (0.0%)
Robert Love                 12 (0.0%)
Nishanth Aravamudan         12 (0.0%)
Emil Velikov                12 (0.0%)
Steve Wise                  12 (0.0%)
Torsten Schenk              12 (0.0%)
Tsutomu Itoh                12 (0.0%)
Tero Kristo                 12 (0.0%)
Dave Young                  12 (0.0%)
Eddie Wai                   12 (0.0%)
Neerav Parikh               12 (0.0%)
Olivier Grenie              12 (0.0%)
Stefan Achatz               12 (0.0%)
Hank Janssen                12 (0.0%)
Ian Abbott                  12 (0.0%)
Joe Carnuccio               12 (0.0%)
David Decotigny             12 (0.0%)
Ivo van Doorn               12 (0.0%)
Vivek Natarajan             12 (0.0%)
Kenji Toyama                12 (0.0%)
Pavan Savoy                 12 (0.0%)
Vladimir Zapolskiy          12 (0.0%)
Gerrit Renker               12 (0.0%)
Hannes Reinecke             12 (0.0%)
Alexandre Bounine           12 (0.0%)
David Jander                12 (0.0%)
RongQing.Li                 12 (0.0%)
Manohar Vanga               12 (0.0%)
H.J. Lu                     12 (0.0%)
Asai Thambi S P             12 (0.0%)
Przemo Firszt               12 (0.0%)
Sean MacLennan              12 (0.0%)
Brian Gix                   12 (0.0%)
Vipin Kumar                 12 (0.0%)
Minchan Kim                 11 (0.0%)
Jonas Aberg                 11 (0.0%)
Alex, Shi                   11 (0.0%)
Piotr Sawicki               11 (0.0%)
Lars Ellenberg              11 (0.0%)
Marcelo Tosatti             11 (0.0%)
Damian Hobson-Garcia        11 (0.0%)
Dave Kleikamp               11 (0.0%)
Maxime Bizon                11 (0.0%)
Maxin B. John               11 (0.0%)
Tanya Brokhman              11 (0.0%)
Nishant Sarmukadam          11 (0.0%)
Sucheta Chakraborty         11 (0.0%)
Steven Miao                 11 (0.0%)
Arindam Nath                11 (0.0%)
Chen Gong                   11 (0.0%)
Dmitry Artamonow            11 (0.0%)
Marc Yang                   11 (0.0%)
Philippe Retornaz           11 (0.0%)
Andres Salomon              11 (0.0%)
Jeff Moyer                  11 (0.0%)
Somnath Kotur               11 (0.0%)
Alessandro Rubini           11 (0.0%)
Jan Engelhardt              11 (0.0%)
Alexandre Oliva             11 (0.0%)
Jason Wang                  11 (0.0%)
