Ka-Ro electronics GmbH      18 (0.0%)
CompuLab                    18 (0.0%)
Fraunhofer FOKUS            18 (0.0%)
Slimlogic Ltd               17 (0.0%)
Altera                      16 (0.0%)
Wacom                       16 (0.0%)
Savoir-faire Linux          16 (0.0%)
AbsoluteValue Systems       15 (0.0%)
Bull SAS                    15 (0.0%)
LaCie                       15 (0.0%)
Amarula Solutions           15 (0.0%)
APM                         15 (0.0%)
Facebook                    15 (0.0%)
RivieraWaves                14 (0.0%)
Obsidian Research           14 (0.0%)
KPIT Cummins                14 (0.0%)
Marine Bridge & Navigation Systems   13 (0.0%)
Alereon                     13 (0.0%)
Overkiz                     13 (0.0%)
CS Systèmes d'information   13 (0.0%)
Posedge Technologies        12 (0.0%)
Yext                        12 (0.0%)
Bosch                       12 (0.0%)
Dialog Semiconductor        12 (0.0%)
Academics                   11 (0.0%)
TQ Systems                  11 (0.0%)
Cypress Semiconductor       11 (0.0%)
ETH Zurich                  11 (0.0%)
Telekom Malaysia            10 (0.0%)
Neratec Solutions           10 (0.0%)
Commtech Inc.               10 (0.0%)
Deka Research and Development   10 (0.0%)
Acision                     10 (0.0%)
Ravello Systems             10 (0.0%)
Datera Inc.                 10 (0.0%)
NetUP                        9 (0.0%)
Ixia                         9 (0.0%)
Daruma                       9 (0.0%)
Volkswagen                   9 (0.0%)
Macq Electronique            9 (0.0%)
Ozmo Devices                 9 (0.0%)
Axis Communications          9 (0.0%)
Renesas Technology           9 (0.0%)
Lantiq                       9 (0.0%)
Eukrea Electromatique        8 (0.0%)
Lemonage Software            8 (0.0%)
Open Nandra                  8 (0.0%)
Telegent System              8 (0.0%)
Parkeon                      8 (0.0%)
Bluecherry LLC               8 (0.0%)
Panasas                      8 (0.0%)
Cavium Networks              7 (0.0%)
Intra2net AG                 7 (0.0%)
MIT Lincoln Laboratory       7 (0.0%)
NetLogic Microsystems        7 (0.0%)
Peking University Microprocessor R&D Center    7 (0.0%)
Motorola                     6 (0.0%)
Cirrus Logic                 6 (0.0%)
ProFUSION                    6 (0.0%)
SYS TEC electronic GmbH      6 (0.0%)
Numascale Asia               6 (0.0%)
Oc� Technologies             6 (0.0%)
Atheros Communications       6 (0.0%)
Exosec                       6 (0.0%)
GNU                          6 (0.0%)
Genesi USA Inc.              6 (0.0%)
Nokia Siemens Networks       6 (0.0%)
Nanometrics                  6 (0.0%)
Faraday Technology           6 (0.0%)
Sirius Electronic Systems    5 (0.0%)
Sonatest Limited             5 (0.0%)
SmartJog S.A.S.              5 (0.0%)
Traverse Technologies        5 (0.0%)
Open Wide Group              5 (0.0%)
Digi International           5 (0.0%)
Myricom                      5 (0.0%)
Cablon                       5 (0.0%)
Matrix Vision                5 (0.0%)
Science Fiction Technologies    5 (0.0%)
EIA Electronics NV           5 (0.0%)
Sophos                       5 (0.0%)
Sony Mobile                  5 (0.0%)
US National Security Agency    5 (0.0%)
Twitter                      5 (0.0%)
Smith Micro Software         5 (0.0%)
SteelEye                     5 (0.0%)
Extreme Engineering Solutions    5 (0.0%)
Substantiel                  4 (0.0%)
Big Switch Networks          4 (0.0%)
Weinmann Medical Technology    4 (0.0%)
Microbit                     4 (0.0%)
Cybage                       4 (0.0%)
Sandia National Laboratories    4 (0.0%)
General Electric             4 (0.0%)
ISEE                         4 (0.0%)
Gridcentric                  4 (0.0%)
HCL Technologies Limited     4 (0.0%)
SYSGO                        4 (0.0%)
