3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Arun Sharma                  1 (0.0%)
Thomas Weber                 1 (0.0%)
Matthijs Kooijman            1 (0.0%)
Denis Kirjanov               1 (0.0%)
Romain KUNTZ                 1 (0.0%)
Stuart Menefy                1 (0.0%)
Benny Halevy                 1 (0.0%)
HeungJun Kim                 1 (0.0%)
Anshuman Khandual            1 (0.0%)
Eric Leblond                 1 (0.0%)
Jon Brenner                  1 (0.0%)
Stepan Moskovchenko          1 (0.0%)
Stratos Karafotis            1 (0.0%)
Dan Rosenberg                1 (0.0%)
Alexey Dobriyan              1 (0.0%)
Jim Foraker                  1 (0.0%)
David Jeffery                1 (0.0%)
Naveen singh                 1 (0.0%)
Allen Martin                 1 (0.0%)
Sujit Reddy Thumma           1 (0.0%)
Shaun Ruffell                1 (0.0%)
Carlos Alberto Lopez Perez    1 (0.0%)
Christian Ehrhardt           1 (0.0%)
Jonathan Kliegman            1 (0.0%)
Alberto Garcia Gonzalez      1 (0.0%)
Mathias Jeppsson             1 (0.0%)
Andrew Cooks                 1 (0.0%)
Gabriel Fernandez            1 (0.0%)
Jiri Bohac                   1 (0.0%)
Chaitanya                    1 (0.0%)
Eryu Guan                    1 (0.0%)
Lydia Wang                   1 (0.0%)
Paul Szabo                   1 (0.0%)
Ilya Zykov                   1 (0.0%)
Ying Han                     1 (0.0%)
Javier Lopez                 1 (0.0%)
Dave Taht                    1 (0.0%)
Shinichi Hotori              1 (0.0%)
Djamil Elaidi                1 (0.0%)
rajman mekaco                1 (0.0%)
Christoph Bumiller           1 (0.0%)
Remi Schwartz                1 (0.0%)
Christian Melki              1 (0.0%)
Pierangelo Terzulli          1 (0.0%)
Andres Freund                1 (0.0%)
Heather Lomond               1 (0.0%)
Attila Kinali                1 (0.0%)
Pavel Roskin                 1 (0.0%)
??? (Steve)                  1 (0.0%)
Thiago Rafael Becker         1 (0.0%)
Mathieu Desnoyers            1 (0.0%)
Arkady Miasnikov             1 (0.0%)
Vitaly Wool                  1 (0.0%)
Klaus Schmidinger            1 (0.0%)
Gilad Ben-Yossef             1 (0.0%)
Zach Sadecki                 1 (0.0%)
Yang Wei                     1 (0.0%)
Dirk Hohndel                 1 (0.0%)
Laszlo Ersek                 1 (0.0%)
Emil Velikov                 1 (0.0%)
Haicheng Li                  1 (0.0%)
Wade Cline                   1 (0.0%)
Baodong Chen                 1 (0.0%)
Stefan Muenzel               1 (0.0%)
Andrew Duggan                1 (0.0%)
Robert Shade                 1 (0.0%)
Vimalkumar                   1 (0.0%)
Alexey Brodkin               1 (0.0%)
Emese Revfy                  1 (0.0%)
Ding Tianhong                1 (0.0%)
Jan Stancek                  1 (0.0%)
Alexandre Oliva              1 (0.0%)
Josh Stone                   1 (0.0%)
Karl Beldan                  1 (0.0%)
Phileas Fogg                 1 (0.0%)
M. Mohan Kumar               1 (0.0%)
Maximilian Engelhardt        1 (0.0%)
Michel Sanches               1 (0.0%)
Jin Navy                     1 (0.0%)
fanchaoting                  1 (0.0%)
Silva Paulo                  1 (0.0%)
Michele Baldessari           1 (0.0%)
Lluís Batlle i Rossell      1 (0.0%)
Martlin Ettl                 1 (0.0%)
Tomasz Torcz                 1 (0.0%)
Mikko Tiihonen               1 (0.0%)
Martin Svec                  1 (0.0%)
Bill Robertson               1 (0.0%)
Dion Edwards                 1 (0.0%)
Vlastimil Babka              1 (0.0%)
Dean Nelson                  1 (0.0%)
Zongyun Lai                  1 (0.0%)
Jukka Ollila                 1 (0.0%)
Jean-Philippe Menil          1 (0.0%)
Arnold Schulz                1 (0.0%)
Guido Iribarren              1 (0.0%)
Mark Grosen                  1 (0.0%)
Tobias Klausmann             1 (0.0%)
David H. Durgee              1 (0.0%)
Carey Underwood              1 (0.0%)
Pradeep Kumar Surisetty      1 (0.0%)
sorin serban                 1 (0.0%)
Marius Bjørnstad Kotsbak    1 (0.0%)
George Shuklin               1 (0.0%)
Debabrata Banerjee           1 (0.0%)
Heinrich Siebmanns (Harvey)    1 (0.0%)
Wouter M. Koolen             1 (0.0%)
Tomas Hruby                  1 (0.0%)
bEN                          1 (0.0%)
Hans de Bruin                1 (0.0%)
Joerg Platte                 1 (0.0%)
Dmitry Shmidt                1 (0.0%)
Rakesh Iyer                  1 (0.0%)
Sebastian Kemper             1 (0.0%)
Sureshkumar Manimuthu        1 (0.0%)
Keshav P R                   1 (0.0%)
Michael Burian               1 (0.0%)
Sunjin Yang                  1 (0.0%)
Daniel                       1 (0.0%)
Alexander E. Patrakov        1 (0.0%)
Ken Sumrall                  1 (0.0%)
Ulrich Obergfell             1 (0.0%)
Mehdi Aqadjani Memar         1 (0.0%)
Jouni Siren                  1 (0.0%)
Guillaume Clément           1 (0.0%)
Manish Honap                 1 (0.0%)
Chen Peter-B29397            1 (0.0%)
Johannes Schild              1 (0.0%)
Thomas Wucher                1 (0.0%)
Richard Boyd                 1 (0.0%)
Suresh Nalluru               1 (0.0%)
Luke-Jr                      1 (0.0%)
Daniel Chyan                 1 (0.0%)
Josip Rodin                  1 (0.0%)
Diwakar Tundlam              1 (0.0%)
Hugo Osvaldo Barrera         1 (0.0%)
Rene De Jong                 1 (0.0%)
Peter Bukovsky               1 (0.0%)
Cesare Leonardi              1 (0.0%)
Kruno Mrak                   1 (0.0%)
Jozef Vesely                 1 (0.0%)
Davd Hennerström            1 (0.0%)
Zhang Shuanglong             1 (0.0%)
Jeff Ohlstein                1 (0.0%)
Aleksandar Igic              1 (0.0%)
David Bein                   1 (0.0%)
Dipankar Sarma               1 (0.0%)
Hagen Paul Pfeifer           1 (0.0%)
Jörn Engel                  1 (0.0%)
Anders Larsen                1 (0.0%)
Ryan Roper                   1 (0.0%)
Walter Goldens               1 (0.0%)
Bernard Debbasch             1 (0.0%)
Gary Morain                  1 (0.0%)
Joshua Dillon                1 (0.0%)
Florian Dazinger             1 (0.0%)
Jakub Husák                 1 (0.0%)
Bryan K. Wright              1 (0.0%)
Robin Hill                   1 (0.0%)
Baldvin Kovacs               1 (0.0%)
Stephan Springl              1 (0.0%)
Nikolay Ulyanitsky           1 (0.0%)
Florian Wöhrl               1 (0.0%)
Xiaofan Chen                 1 (0.0%)
Dick Streefland              1 (0.0%)
Sami Farin                   1 (0.0%)
Andrew Shadura               1 (0.0%)
adam ?                       1 (0.0%)
Klaus Falkner                1 (0.0%)
Milton Miller                1 (0.0%)
Marius Tolzmann              1 (0.0%)
Robert M. Albrecht           1 (0.0%)
Luca Risolia                 1 (0.0%)
Laurent Bigonville           1 (0.0%)
Maynard Johnson              1 (0.0%)
Matthias Prager              1 (0.0%)
Christian Casteyde           1 (0.0%)
Luca Boccassi                1 (0.0%)
Jérôme Carretero           1 (0.0%)
Yuanming Chen                1 (0.0%)
Aleksandr Kotov              1 (0.0%)
Mads                         1 (0.0%)
Arun Raghavan                1 (0.0%)
Michael Eitelwein            1 (0.0%)
Marti Raudsepp               1 (0.0%)
Akhilesh Kumar               1 (0.0%)
Alex Elsayed                 1 (0.0%)
Blue Swirl                   1 (0.0%)
Valentin Avram               1 (0.0%)
Peter Portante               1 (0.0%)
Anton Mich                   1 (0.0%)
Sascha Wildner               1 (0.0%)
Grygorii Strashko            1 (0.0%)
David A Gilbert              1 (0.0%)
Edwin Klein Mentink          1 (0.0%)
CF Adad                      1 (0.0%)
Fabio Futigami               1 (0.0%)
Ethan Jackson                1 (0.0%)
Nicolás Echániz            1 (0.0%)
Vishal Verma                 1 (0.0%)
Shan Kang                    1 (0.0%)
Guangliang Zhao              1 (0.0%)
Max Matveev                  1 (0.0%)
Jeff Law                     1 (0.0%)
Günter Kukkukk              1 (0.0%)
Jean-François Deverge       1 (0.0%)
Dariusz Majchrzak            1 (0.0%)
Daniel Lambert               1 (0.0%)
Bill Sommerfeld              1 (0.0%)
Andrew McGregor              1 (0.0%)
Yossi Wortzel                1 (0.0%)
Nadia Heninger               1 (0.0%)
Zakir Durumeric              1 (0.0%)
J. Alex Halderman            1 (0.0%)
Georgiewskiy Yuriy           1 (0.0%)
Mikołaj Kuligowski          1 (0.0%)
Per-Erik Westerberg          1 (0.0%)
Alex Lemberg                 1 (0.0%)
Paulo Assis                  1 (0.0%)
Aubin Constans               1 (0.0%)
Andrew J.Schorr              1 (0.0%)
Michael Prokop               1 (0.0%)
Emmanuel Benisty             1 (0.0%)
Sarah Nadi                   1 (0.0%)
Radu-Andrei BULIE            1 (0.0%)
Joerg Reisenweber            1 (0.0%)
Christian Ohm                1 (0.0%)
Monthadar Al Jaberi          1 (0.0%)
Pankaj Jangra                1 (0.0%)
Ethan Zhao                   1 (0.0%)
Elen Song                    1 (0.0%)
Tushant Mirchandani          1 (0.0%)
Yu Yanzhi                    1 (0.0%)
Dror Erez                    1 (0.0%)
Michael Mao                  1 (0.0%)
Murphy McCauley              1 (0.0%)
Peter Maloney                1 (0.0%)
Andre Naujoks                1 (0.0%)
Felix Liao                   1 (0.0%)
Jeffrey Barish               1 (0.0%)
Ryan Underwood               1 (0.0%)
Colin Fletcher               1 (0.0%)
Devin Venable                1 (0.0%)
Dr Nick Bailey               1 (0.0%)
Jannis Achstetter            1 (0.0%)
Rui Nuno Capela              1 (0.0%)
Bill Nottingham              1 (0.0%)
Tim Shepard                  1 (0.0%)
Julien Tinnes                1 (0.0%)
Michael Burkey               1 (0.0%)
Ruben Herold                 1 (0.0%)
MARK PHILLIPS                1 (0.0%)
Richard                      1 (0.0%)
Michael Hirsch               1 (0.0%)
Miles Lane                   1 (0.0%)
Claudio Takahasi             1 (0.0%)
Anders Blomdell              1 (0.0%)
Jon Brawn                    1 (0.0%)
Milan Tuma                   1 (0.0%)
Loïc Yhuel                  1 (0.0%)
Forrest Loomis               1 (0.0%)
Micael Dias                  1 (0.0%)
Vit Zahradka                 1 (0.0%)
Robin Kreis                  1 (0.0%)
Giorgos Mavrikas             1 (0.0%)
Kelsey Prantis               1 (0.0%)
Jack Lin                     1 (0.0%)
Masaki Kimura                1 (0.0%)
Holger Kiehl                 1 (0.0%)
Orion Poplawski              1 (0.0%)
Brent Taylor                 1 (0.0%)
Marko Kohtala                1 (0.0%)
Maxim Kammerer               1 (0.0%)
Roger Price                  1 (0.0%)
Gurucharan Shetty            1 (0.0%)
Heinz Diehl                  1 (0.0%)
Elliot Hughes                1 (0.0%)
Andreas Krebbel              1 (0.0%)
Andreas Sandberg             1 (0.0%)
Larry McVoy                  1 (0.0%)
Alessandro Suardi            1 (0.0%)
Andrew Oakley                1 (0.0%)
Alexander Kühn              1 (0.0%)
hank                         1 (0.0%)
Da Fox                       1 (0.0%)
Jan Hoogenraad               1 (0.0%)
Jukka Hopeavuori             1 (0.0%)
Joni Lapilainen              1 (0.0%)
Gregory Lee Bartholomew      1 (0.0%)
Frank Zhang                  1 (0.0%)
David Mc Andrew              1 (0.0%)
Mohamed Pakkeer              1 (0.0%)
Bhushan                      1 (0.0%)
Ferry                        1 (0.0%)
David Oleszkiewicz           1 (0.0%)
Alexander Bokovoy            1 (0.0%)
Sebastian Gottschall (DD-WRT)    1 (0.0%)
Milos Jakubicek              1 (0.0%)
Brian C. Huffman             1 (0.0%)
Rinat Camalov                1 (0.0%)
Fernando Lopez-Lezcano       1 (0.0%)
Markus Stenberg              1 (0.0%)
Joel Uckelman                1 (0.0%)
Neyuki Inaya                 1 (0.0%)
Mark Tyler                   1 (0.0%)
Juan Sanchez-Agrelo          1 (0.0%)
Waiman Long                  1 (0.0%)
Tom Mealey                   1 (0.0%)
Jay Harbeston                1 (0.0%)
Rick Harding                 1 (0.0%)
Dan Thompson                 1 (0.0%)
Mark Kettenis                1 (0.0%)
Stas                         1 (0.0%)
Punit Agrawal                1 (0.0%)
Lev Vainblat                 1 (0.0%)
Sergey Alexandrov            1 (0.0%)
Andreas Hollmann             1 (0.0%)
Daniel Browning              1 (0.0%)
Andy Leiserson               1 (0.0%)
Vitaly Budovski              1 (0.0%)
Anunay Saxena                1 (0.0%)
Florian Hanisch              1 (0.0%)
Jan Steffens                 1 (0.0%)
Manolo Díaz                 1 (0.0%)
Jaroslav Skarvada            1 (0.0%)
Yurij M. Plotnikov           1 (0.0%)
Richard Woodruff             1 (0.0%)
Andreas                      1 (0.0%)
Ketan Kulkarni               1 (0.0%)
Slava Barinov                1 (0.0%)
Mihail Kasadjikov            1 (0.0%)
Tomas M                      1 (0.0%)
J Binder                     1 (0.0%)
Chris Paulson-Ellis          1 (0.0%)
canqun zhang                 1 (0.0%)
Alex Xu                      1 (0.0%)
Christian Becker             1 (0.0%)
Harry Liebel                 1 (0.0%)
Ian Molton                   1 (0.0%)
nitin padalia                1 (0.0%)
Thomas Hartmann              1 (0.0%)
ryan                         1 (0.0%)
John Tapsell                 1 (0.0%)
Miroslav Kratochvil          1 (0.0%)
Harald Reindl                1 (0.0%)
Vincent Pelletier            1 (0.0%)
Albrecht Dreß               1 (0.0%)
Jesse Kahtava                1 (0.0%)
Mikko Rapeli                 1 (0.0%)
Tim Perry                    1 (0.0%)
Zhiyun Qian                  1 (0.0%)
Ulrich Eckhardt              1 (0.0%)
Fadeeva Marina               1 (0.0%)
Feng Gao                     1 (0.0%)
Ruslan N. Marchenko          1 (0.0%)
M. Stevens                   1 (0.0%)
Chris Healy                  1 (0.0%)
Kevin Petit                  1 (0.0%)
Pascal Junod                 1 (0.0%)
Joeri Vanthienen             1 (0.0%)
Joe Cooper                   1 (0.0%)
Peter Foley                  1 (0.0%)
Conrad Kostecki              1 (0.0%)
James Rodriguez              1 (0.0%)
SeongHwan Yoon               1 (0.0%)
Vasilis Liaskovitis          1 (0.0%)
Boyd Yang                    1 (0.0%)
Raz Ben Yehuda               1 (0.0%)
Andrew Gabbasov              1 (0.0%)
Robert Cunningham            1 (0.0%)
Christian Engelmayer         1 (0.0%)
Kyung Kwee Ryu               1 (0.0%)
Chanho Min                   1 (0.0%)
Frank Filz                   1 (0.0%)
Ami Koren                    1 (0.0%)
Chan-yeol Park               1 (0.0%)
Phillip Wood                 1 (0.0%)
Dimitris Damigos             1 (0.0%)
Ari Pollak                   1 (0.0%)
Yang Yeping                  1 (0.0%)
Michal Kubecek               1 (0.0%)
Petr Stetiar                 1 (0.0%)
Justin Pettit                1 (0.0%)
Antoine Reversat             1 (0.0%)
Hyeonkook Kim                1 (0.0%)
Andreas Arnez                1 (0.0%)
Sébastien Wilmet            1 (0.0%)
Muhammad Minhazul Haque      1 (0.0%)
Chintan Mehta                1 (0.0%)
Christof Meerwald            1 (0.0%)
Ronny Meeus                  1 (0.0%)
Peter Staubach               1 (0.0%)
Peter Nessrup                1 (0.0%)
Ekman Tsang                  1 (0.0%)
Jesper Brouer                1 (0.0%)
Marco Fonseca                1 (0.0%)
Inbal Hacohen                1 (0.0%)
Leela Kella                  1 (0.0%)
Wang yufeng                  1 (0.0%)
Nikunj A Dadhania            1 (0.0%)
Mike Looijmans               1 (0.0%)
Lennart Poettering           1 (0.0%)
Stef Walter                  1 (0.0%)
Bryan O'Donoghue             1 (0.0%)
Roopa Prabhu                 1 (0.0%)
Michal Jaegermann            1 (0.0%)
Stefan Brüns                1 (0.0%)
Miroslav Vadkerti            1 (0.0%)
zhangwei(Jovi)               1 (0.0%)
Siegfried Wulsch             1 (0.0%)
Tetja Rediske                1 (0.0%)
Karel Srot                   1 (0.0%)
Gerhard Sittig               1 (0.0%)
FuXiangChun                  1 (0.0%)
rebelyouth                   1 (0.0%)
Igor Michailov               1 (0.0%)
Pawel Zawora                 1 (0.0%)
Jeff Leung                   1 (0.0%)
Oded Horovitz                1 (0.0%)
Osamu Fukushima              1 (0.0%)
Andreas Degert               1 (0.0%)
Chris Murphy                 1 (0.0%)
Caj Larsson                  1 (0.0%)
Corey Richardson             1 (0.0%)
Satish Balay                 1 (0.0%)
Michael Zintakis             1 (0.0%)
Laurent Chavey               1 (0.0%)
George Beshers               1 (0.0%)
David Gibson                 1 (0.0%)
Jason Burgess                1 (0.0%)
Yan Li                       1 (0.0%)
Frederic Crozat              1 (0.0%)
Dave Chiluk                  1 (0.0%)
