3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Manjunathappa, Prakash      14 (0.0%)
Keith Busch                 14 (0.0%)
Yadwinder Singh Brar        14 (0.0%)
Arun Kumar K                14 (0.0%)
Jason Gunthorpe             14 (0.0%)
Tekkaman Ninja              14 (0.0%)
Priit Laes                  14 (0.0%)
Yijing Wang                 14 (0.0%)
Nickolai Zeldovich          14 (0.0%)
Paul Turner                 14 (0.0%)
Dirk Brandewie              14 (0.0%)
Benson Leung                14 (0.0%)
Alasdair G Kergon           13 (0.0%)
Josh Boyer                  13 (0.0%)
Chris Zankel                13 (0.0%)
James Bottomley             13 (0.0%)
John W. Linville            13 (0.0%)
Lauri Hintsala              13 (0.0%)
Ilya Dryomov                13 (0.0%)
Vaibhav Nagarnaik           13 (0.0%)
Tiejun Chen                 13 (0.0%)
Jonghwan Choi               13 (0.0%)
Dylan Reid                  13 (0.0%)
Jan Kiszka                  13 (0.0%)
Vinod Koul                  13 (0.0%)
Kirill Smelkov              13 (0.0%)
Nagalakshmi Nandigama       13 (0.0%)
Tsutomu Itoh                13 (0.0%)
